# GPUs,global batch,micro batch,hidden size,attention heads,# layers,sequence length,tensor parallelism,data parallelism,pipeline parallelism,iteration time (ms)
4,4,1,1024,16,12,1024,4,1,1,178.434627
4,16,1,1024,16,16,1024,1,2,2,271.724261
2,8,1,1024,16,12,1024,1,1,2,215.593325
4,4,2,2048,16,20,1024,1,1,4,167.112339
4,32,1,1024,16,20,1024,1,4,1,545.352423
4,4,1,2048,16,16,1024,2,2,1,131.292914
8,16,1,1024,16,20,1024,2,4,1,286.403946
2,8,1,1024,16,16,1024,2,1,1,457.467142
4,16,4,1024,16,24,1024,4,1,1,399.419703
8,16,1,2048,16,20,1024,4,2,1,514.005653
2,8,4,1024,16,16,1024,2,1,1,117.899674
8,8,2,1024,16,20,1024,2,2,2,118.585276
8,4,2,2048,16,20,1024,8,1,1,165.026609
2,16,8,1024,16,16,1024,2,1,1,206.207441
8,16,1,2048,16,12,1024,1,2,4,200.996228
8,64,2,2048,16,16,1024,1,4,2,509.102617
8,32,1,2048,16,12,1024,2,4,1,371.559438
8,4,1,2048,16,20,1024,2,1,4,139.431796
8,32,1,1024,16,16,1024,2,4,1,459.652842
4,8,1,2048,16,24,1024,2,1,2,404.557872
8,16,2,2048,16,24,1024,1,4,2,229.995616
4,32,4,1024,16,16,1024,1,4,1,206.389346
4,2,1,1024,16,16,1024,1,1,4,76.071819
4,16,2,2048,16,12,1024,1,2,2,230.562241
8,32,8,2048,16,20,1024,2,2,2,360.3653
8,4,2,2048,16,16,1024,2,1,4,110.163063
8,8,1,1024,16,24,1024,8,1,1,975.736282
2,8,1,2048,16,24,1024,1,1,2,448.905696
2,8,2,2048,16,20,1024,1,2,1,261.630079
2,4,2,2048,16,24,1024,1,1,2,224.026925
4,16,1,1024,16,16,1024,2,1,2,499.797715
8,8,1,2048,16,24,1024,2,1,4,259.867976
4,16,1,2048,16,16,1024,2,1,2,526.709192
4,4,1,1024,16,24,1024,1,1,4,155.099101
4,32,8,1024,16,20,1024,1,2,2,325.589664
8,16,1,2048,16,20,1024,1,8,1,183.44628
2,16,1,2048,16,16,1024,1,1,2,619.576616
4,16,4,2048,16,16,1024,2,2,1,231.015256
8,32,4,2048,16,12,1024,4,2,1,275.448802
8,4,2,1024,16,12,1024,8,1,1,104.03653
8,4,1,1024,16,24,1024,4,1,2,218.124974
4,4,2,1024,16,20,1024,1,1,4,104.122994
4,4,1,1024,16,24,1024,1,2,2,127.609515
8,16,1,2048,16,12,1024,1,4,2,153.907628
8,32,4,1024,16,20,1024,2,2,2,187.562052
4,4,1,2048,16,12,1024,2,2,1,101.06969
4,32,2,2048,16,20,1024,1,2,2,595.654815
2,16,2,2048,16,24,1024,2,1,1,946.671428
8,4,1,1024,16,20,1024,1,2,4,92.579255
8,8,4,1024,16,20,1024,2,1,4,97.105985
8,8,1,1024,16,12,1024,1,2,4,92.388695
8,16,4,2048,16,16,1024,2,2,2,176.604313
4,16,2,1024,16,12,1024,4,1,1,350.483883
8,16,4,2048,16,24,1024,2,1,4,306.245465
8,8,2,1024,16,16,1024,4,1,2,147.657701
4,16,4,1024,16,20,1024,2,2,1,145.762666
4,16,2,1024,16,12,1024,1,1,4,190.418954
4,8,1,1024,16,20,1024,2,1,2,324.797857
2,8,1,2048,16,12,1024,1,1,2,268.043472
8,16,1,1024,16,24,1024,2,4,1,340.600946
4,2,1,1024,16,16,1024,2,1,2,88.160461
8,16,1,1024,16,24,1024,1,4,2,212.844321
8,8,2,2048,16,20,1024,4,2,1,128.223866
8,128,8,2048,16,16,1024,1,8,1,688.425037
8,64,8,2048,16,16,1024,2,4,1,383.014627
4,2,1,1024,16,12,1024,1,1,4,60.830883
8,32,8,2048,16,12,1024,1,2,4,407.711557
4,4,1,2048,16,20,1024,1,2,2,137.10234
2,4,1,2048,16,16,1024,2,1,1,243.026386
8,16,1,1024,16,12,1024,2,4,1,178.075846
2,16,4,1024,16,12,1024,1,2,1,164.27779
4,64,1,1024,16,12,1024,1,4,1,692.663731
8,32,4,2048,16,16,1024,2,4,1,232.745456
8,16,1,2048,16,24,1024,8,1,1,1883.691016
8,8,4,2048,16,12,1024,2,1,4,120.362064
4,16,4,1024,16,12,1024,4,1,1,211.177275
8,8,2,1024,16,20,1024,4,1,2,180.949531
4,16,4,1024,16,12,1024,2,1,2,122.510648
8,16,1,2048,16,24,1024,1,4,2,257.464671
4,16,4,2048,16,12,1024,1,1,4,338.05753
8,16,2,1024,16,20,1024,4,1,2,326.427327
8,16,2,1024,16,16,1024,2,2,2,161.074794
8,64,2,2048,16,24,1024,2,4,1,952.640119
8,64,4,2048,16,20,1024,1,4,2,600.035369
2,32,8,2048,16,12,1024,1,2,1,553.299989
8,4,2,2048,16,24,1024,2,1,4,157.491141
8,32,2,1024,16,12,1024,2,2,2,224.957654
2,32,2,1024,16,16,1024,1,2,1,498.175143
4,16,2,2048,16,20,1024,2,2,1,409.65887
8,16,1,1024,16,24,1024,2,2,2,386.159487
2,16,1,2048,16,12,1024,1,2,1,419.576166
8,8,4,1024,16,24,1024,8,1,1,187.834069
